year,USC00010402,USC00012813,USC00013160,USC00016121,USC00020750,USC00024453,USC00026353,USC00027281,USC00027708,USC00027855,USC00030130,USC00030460,USC00031152,USC00031632,USC00031962,USC00040161,USC00042214,USC00042294,USC00043463,USC00043551,USC00043761,USC00044259,USC00044297,USC00044997,USC00046006,USC00046175,USC00046252,USC00046508,USC00047085,USC00047880,USC00047888,USC00047916,USC00048758,USC00049099,USC00053016,USC00055722,USC00056832,USC00058157,USC00058781,USC00058931,USC00059295,USC00065445,USC00080211,USC00081641,USC00082944,USC00085973,USC00086078,USC00087025,USC00087397,USC00089120,USC00090140,USC00091266,USC00092283,USC00093754,USC00097808,USC00102575,USC00103108,USC00103297,USC00105275,USC00105462,USC00105708,USC00114108,USC00116526,USC00117636,USC00118293,USC00129240,USC00130807,USC00131402,USC00133718,USC00134585,USC00135769,USC00135992,USC00136940,USC00137161,USC00140365,USC00141867,USC00144178,USC00144559,USC00145888,USC00147542,USC00155640,USC00165266,USC00173261,USC00180700,USC00188065,USC00188405,USC00190860,USC00195984,USC00200864,USC00203096,USC00203632,USC00203661,USC00213282,USC00215204,USC00216612,USC00221962,USC00228374,USC00228445,USC00230204,USC00231189,USC00231711,USC00232850,USC00234919,USC00235307,USC00238577,USC00244345,USC00244820,USC00246615,USC00246640,USC00247034,USC00247382,USC00248363
2003,35.0,33.9,,,,42.2,40.6,46.1,43.3,37.8,35.0,36.1,37.2,37.8,37.8,40.6,30.6,41.7,37.8,31.1,,,,41.1,,30.6,41.1,41.7,37.8,37.8,35.6,33.3,32.2,47.2,34.4,37.8,38.9,41.1,37.2,32.2,42.2,30.6,36.1,35.6,34.4,34.4,35.6,35.0,35.0,35.0,34.4,35.0,31.7,,36.1,33.9,,38.9,36.7,35.0,36.1,37.2,36.1,36.7,36.1,,39.4,36.1,38.9,40.0,,37.2,38.9,36.1,45.0,41.7,42.2,40.0,41.1,43.3,,37.8,33.9,33.9,30.6,36.1,35.6,35.0,36.1,,31.1,35.0,32.2,36.7,33.9,,35.0,37.8,39.4,39.4,40.0,,37.8,37.2,38.3,40.6,,,38.9,42.2,40.0,
2004,36.1,36.1,36.7,,33.3,36.1,37.8,44.4,38.9,33.3,35.0,37.2,36.7,35.6,36.1,37.2,31.7,41.1,37.8,31.1,,,47.2,40.0,34.4,26.1,41.7,40.0,34.4,,33.9,32.8,30.6,45.0,30.6,35.6,36.7,39.4,34.4,31.7,41.1,29.4,37.2,37.2,34.4,,36.7,36.1,,34.4,35.6,37.2,32.8,,,31.7,36.1,36.1,32.2,,33.3,35.6,32.8,35.0,31.7,,33.3,32.8,33.9,34.4,33.9,33.3,33.3,31.7,38.9,37.2,38.3,,40.0,39.4,,36.1,30.6,33.3,30.6,,34.4,32.2,33.3,30.6,,33.3,30.0,35.6,32.8,35.6,35.6,36.1,33.9,34.4,34.4,36.7,36.1,34.4,33.9,38.9,27.8,,36.1,38.3,37.2,36.1
2005,36.7,36.1,37.8,,35.0,40.0,39.4,45.0,42.8,37.2,36.7,38.9,39.4,36.7,39.4,,,,37.8,31.1,,,50.0,40.0,37.8,26.7,42.2,38.3,35.0,37.2,36.1,27.8,31.1,45.6,32.2,37.8,40.0,43.3,36.7,32.8,42.8,31.7,35.0,36.7,36.1,36.7,36.7,36.1,38.9,34.4,36.1,37.2,34.4,,35.6,31.7,36.1,36.1,34.4,34.4,33.3,37.2,39.4,36.7,35.0,,36.1,33.9,37.2,37.8,36.7,36.7,36.1,33.9,40.0,,39.4,36.7,43.3,41.1,,37.8,33.9,35.6,32.2,38.3,38.3,35.0,36.1,33.3,,34.4,35.0,36.1,,36.7,37.8,39.4,37.2,40.0,38.9,36.7,39.4,38.3,40.0,41.1,29.4,,36.1,40.0,38.9,37.2
2006,38.3,37.8,38.9,,32.8,38.3,38.9,46.7,40.6,36.1,38.9,38.9,40.0,36.7,39.4,39.4,,45.0,38.9,31.1,,,48.9,44.4,37.8,32.2,,41.7,43.9,42.2,40.0,33.3,30.6,43.9,32.2,36.1,39.4,40.6,36.1,31.1,41.7,33.3,35.6,35.6,37.2,37.2,35.6,37.8,36.1,36.1,37.8,38.3,36.1,,37.8,33.3,37.8,38.3,35.6,35.0,36.7,38.3,36.1,36.1,33.3,33.9,36.1,35.0,38.9,38.9,,38.3,38.3,35.0,42.2,41.1,,,41.7,43.9,36.1,38.9,32.8,36.1,37.2,37.8,36.1,35.6,36.7,35.6,32.2,35.6,33.9,37.8,,38.9,,38.9,40.0,38.3,40.0,37.8,38.3,37.8,37.8,40.0,30.0,,38.9,40.6,38.9,38.9
2007,38.9,37.2,40.6,,35.6,40.6,38.9,44.4,42.2,36.1,40.0,40.0,39.4,39.4,40.0,,29.4,42.2,40.0,32.2,,,49.4,42.2,38.9,26.1,,39.4,38.3,37.2,37.2,30.6,31.1,46.1,32.2,36.7,38.9,40.0,35.6,32.2,40.6,32.2,36.7,,36.7,36.7,36.1,37.2,37.2,35.6,38.3,40.0,36.7,,37.2,33.9,36.1,37.8,34.4,35.0,35.6,39.4,33.9,38.9,33.3,33.3,34.4,35.0,37.2,36.1,,35.0,35.6,35.0,40.0,39.4,38.9,40.0,40.6,38.3,,38.9,33.9,38.3,31.7,38.3,33.9,35.0,35.6,32.8,,35.6,30.0,37.2,,42.2,40.6,39.4,37.2,38.9,38.9,40.6,41.1,38.9,38.9,41.1,32.8,,39.4,38.9,42.8,
2008,36.1,36.1,,,33.3,37.2,,43.9,40.6,33.9,38.3,,41.1,37.2,38.9,,,42.8,38.3,32.2,,,52.8,43.3,37.2,30.0,,38.9,36.7,38.9,37.2,38.9,31.7,42.8,30.6,34.4,37.8,40.0,36.7,31.1,42.8,33.3,,35.6,36.7,36.7,35.0,,36.1,36.1,,38.9,34.4,39.4,,,,37.2,33.3,33.3,32.8,35.6,32.2,35.6,31.7,32.2,34.4,31.7,37.8,36.1,35.0,34.4,36.1,34.4,42.8,40.0,40.0,37.8,40.0,38.9,,40.0,32.2,36.1,31.1,,36.1,37.2,33.3,30.6,31.1,32.2,30.6,34.4,31.7,36.7,38.3,38.9,,35.0,,35.6,35.6,35.6,35.0,40.6,29.4,,37.2,37.2,38.3,
2009,37.8,37.8,,,35.0,38.9,,44.4,42.8,35.0,35.6,,38.9,36.1,41.1,,30.0,42.2,38.3,32.2,,48.3,48.9,42.8,35.6,,,43.3,35.6,37.2,,37.2,30.6,43.9,,35.0,,38.9,36.7,31.1,37.2,30.0,,,36.7,37.2,36.1,,36.7,37.2,,39.4,33.3,37.8,37.2,,35.0,37.8,35.0,33.9,33.3,35.0,34.4,35.0,33.9,,34.4,33.3,34.4,36.1,35.0,35.6,36.1,32.8,43.3,36.1,38.3,36.7,39.4,37.8,,40.0,32.8,33.9,30.0,33.9,34.4,32.8,35.6,34.4,36.7,33.9,,35.6,,36.1,37.2,37.8,35.6,35.6,36.7,34.4,35.6,35.0,35.6,37.2,29.4,,35.0,36.1,35.6,
2010,38.3,38.9,38.9,,33.9,,38.3,43.3,40.0,36.1,38.9,40.6,41.1,38.3,40.6,,28.9,42.2,,,,47.8,46.1,40.6,38.3,23.3,,39.4,35.6,38.9,35.6,38.3,30.0,42.2,32.8,37.8,37.8,40.0,36.7,31.1,40.6,33.3,36.7,36.7,,37.2,36.1,37.8,36.7,36.1,38.3,40.6,34.4,40.6,39.4,,33.3,36.7,32.2,32.8,32.2,37.8,34.4,37.2,32.8,,33.9,34.4,35.6,35.6,34.4,35.6,,33.9,42.8,40.0,40.6,39.4,40.0,41.1,,39.4,33.3,37.8,37.2,38.3,38.9,37.2,35.0,31.7,32.2,33.9,30.0,35.6,,37.8,40.0,41.1,36.7,36.7,38.3,37.8,39.4,37.8,35.6,38.9,28.3,,35.0,35.6,37.2,
2011,37.8,38.9,38.3,,34.4,37.8,40.6,43.3,,34.4,42.8,43.9,43.9,41.7,40.6,,,39.4,36.1,,,47.2,47.2,38.9,,24.4,,37.8,35.0,,35.0,30.0,28.9,42.8,31.7,35.6,37.2,40.0,36.7,32.2,40.6,33.9,,36.1,,37.8,36.1,38.9,37.2,37.2,38.3,37.8,35.6,,37.8,,34.4,36.7,32.2,32.2,32.8,37.8,36.1,36.7,35.0,,35.6,35.6,37.8,38.3,36.1,37.2,36.7,36.1,45.6,43.3,43.3,42.8,41.1,41.7,35.0,42.2,33.3,38.9,35.0,37.2,38.3,37.2,35.6,34.4,32.8,36.1,29.4,37.8,33.9,41.1,38.3,41.1,42.2,42.2,40.6,39.4,41.1,40.0,38.3,37.8,27.8,,33.3,35.6,36.1,36.1
2012,36.1,36.1,39.4,39.4,34.4,37.2,38.9,45.0,,35.0,41.7,43.3,39.4,40.0,39.4,,30.0,40.6,37.8,31.1,,47.2,48.3,40.6,35.6,25.0,,39.4,,37.2,36.7,32.2,31.1,43.9,32.8,37.2,37.8,41.7,38.3,,,32.8,,35.6,,36.7,35.6,35.6,36.1,35.0,38.9,38.3,38.9,,37.2,,,37.8,32.2,32.8,33.9,40.0,40.0,40.6,37.2,,38.9,37.2,40.0,40.0,39.4,40.6,39.4,38.3,45.0,42.2,42.2,41.7,43.9,45.0,40.0,38.9,32.2,38.3,,38.9,35.6,35.6,,33.3,36.1,38.9,31.1,36.7,33.3,40.0,39.4,38.9,41.1,,,42.2,41.1,39.4,40.6,38.9,30.0,,33.3,40.6,39.4,36.1
2013,35.0,35.6,35.6,33.9,34.4,41.7,38.9,45.0,,35.6,36.7,38.3,37.2,36.1,37.8,,33.3,42.8,38.3,32.2,,49.4,52.8,41.7,38.3,26.1,,40.6,37.2,37.2,35.0,32.2,32.2,47.2,31.7,36.7,38.9,40.6,36.7,33.9,42.2,32.2,,36.1,36.1,36.1,35.0,35.0,35.6,35.0,35.6,35.6,33.3,,36.1,,,38.3,32.2,36.1,36.1,37.2,34.4,35.6,33.9,,36.7,33.9,36.1,38.3,34.4,38.9,36.7,36.1,42.8,40.6,40.0,38.9,42.2,41.7,33.9,37.8,33.3,35.0,,35.6,36.7,35.6,35.6,33.3,35.0,34.4,31.1,34.4,33.3,,35.6,37.8,35.6,36.1,,36.7,35.0,34.4,36.1,36.1,,,34.4,38.3,37.2,36.7
2014,35.6,36.7,37.8,39.4,34.4,36.7,38.3,43.9,,34.4,35.6,37.8,36.1,37.2,34.4,,30.0,42.2,37.8,31.1,,47.2,46.7,40.6,33.9,27.2,,40.6,37.2,37.8,35.0,31.1,33.3,43.9,,36.1,37.8,39.4,36.7,30.6,40.0,31.7,,37.8,36.7,37.2,35.0,35.6,37.2,35.6,36.7,36.1,32.2,,37.2,,,35.6,31.1,33.3,33.9,35.0,32.2,34.4,32.2,32.2,32.8,32.2,33.3,34.4,33.3,32.8,34.4,32.8,41.1,39.4,40.0,40.0,38.9,39.4,35.6,36.1,33.3,35.0,30.6,,33.3,32.8,33.3,30.6,30.6,31.1,28.3,32.8,,35.0,36.7,35.6,36.1,35.6,37.8,37.2,37.2,37.2,33.9,36.7,,,35.0,36.1,36.7,33.3
2015,37.2,36.1,37.8,36.1,33.3,38.3,39.4,44.4,,35.0,37.8,35.6,40.0,36.1,38.3,,31.7,40.6,37.8,,,46.1,47.2,41.1,33.9,28.9,40.6,41.7,36.1,38.3,37.2,38.3,31.1,43.9,30.0,36.7,37.8,39.4,35.6,32.2,,31.1,,37.8,36.1,37.2,35.0,36.7,36.7,37.2,37.2,37.2,33.9,,37.8,,34.4,37.8,32.2,35.6,36.7,35.6,32.8,34.4,32.2,,34.4,34.4,36.7,36.1,34.4,34.4,36.1,35.0,41.7,37.2,41.7,36.7,38.3,39.4,33.3,40.6,32.8,34.4,31.7,35.6,34.4,33.9,32.8,31.7,32.2,32.2,26.7,36.1,33.9,36.1,37.2,37.8,34.4,33.9,35.6,35.6,33.9,34.4,34.4,37.8,,,36.1,37.2,39.4,36.7
2016,38.3,36.1,,37.2,36.1,42.2,,47.2,,36.7,36.1,37.8,38.9,37.2,36.1,,34.4,40.0,38.3,,,49.4,,40.6,36.7,26.1,,,37.2,,41.7,33.3,32.2,46.1,32.2,37.2,37.8,39.4,37.2,32.2,,32.2,,37.8,,36.7,35.0,35.6,37.2,36.7,36.7,36.7,35.0,38.3,38.9,,,35.0,32.2,32.2,32.8,34.4,32.8,35.0,33.9,33.9,33.9,34.4,36.7,37.2,35.6,35.6,36.7,35.6,41.1,40.6,39.4,39.4,39.4,40.0,34.4,37.2,31.7,37.8,32.8,,35.6,34.4,33.9,32.8,34.4,33.9,32.2,37.2,,36.1,37.8,37.2,35.0,35.0,36.7,36.1,36.1,36.1,35.6,36.7,,,33.3,37.8,36.7,35.6
2017,36.1,35.6,35.0,,35.6,41.1,,46.7,,36.1,35.0,36.7,35.6,35.6,35.6,,31.7,42.2,,32.2,,49.4,49.4,42.2,,27.2,,,37.8,40.6,36.7,,30.6,46.7,31.7,36.7,38.3,37.8,35.0,31.1,40.0,31.7,,36.7,,36.7,35.0,36.1,37.8,36.7,35.0,35.0,33.3,36.1,36.1,,,36.1,31.7,33.9,33.9,36.1,34.4,35.6,33.9,34.4,,34.4,36.7,36.7,34.4,36.1,35.6,35.6,41.1,42.2,42.2,,39.4,42.2,34.4,36.1,31.7,35.0,30.6,,35.6,34.4,34.4,30.0,31.7,32.8,29.4,36.7,31.1,36.1,37.8,36.7,37.2,37.8,,38.9,37.8,36.7,36.7,38.3,30.6,,36.1,37.2,38.9,35.6
2018,36.7,35.6,36.1,,34.4,37.8,,,,34.4,37.2,37.8,39.4,,,,35.0,40.0,,30.6,,47.8,48.3,38.9,,30.6,,,36.7,37.8,45.6,36.1,30.6,45.6,31.7,37.8,37.8,40.6,37.8,32.8,41.1,33.3,,36.7,,35.6,34.4,35.0,37.2,35.0,35.6,36.1,32.2,36.7,37.8,,,38.3,33.3,33.3,36.7,35.0,33.3,34.4,32.2,39.4,35.0,33.3,35.6,38.3,36.1,35.6,35.0,33.3,44.4,40.0,39.4,37.2,39.4,40.0,34.4,39.4,,37.2,,,36.1,35.0,34.4,35.6,33.3,33.3,27.2,37.2,31.7,35.0,,,37.8,36.7,37.2,35.6,36.7,36.7,35.6,37.8,33.3,,36.1,38.9,41.1,38.3
2019,38.3,36.7,36.7,35.6,34.4,36.7,,,,33.9,35.0,36.1,,35.0,,,31.1,40.6,,26.1,,46.7,47.2,40.6,,26.1,,,35.6,,36.7,35.0,30.0,43.9,30.0,36.7,37.2,40.0,38.3,31.7,40.6,32.2,,38.3,,37.2,36.1,,37.2,35.6,,37.2,32.8,,37.2,,35.0,35.6,31.7,33.3,33.3,35.0,33.3,35.0,32.8,,34.4,33.3,36.1,37.8,35.0,35.6,35.0,33.9,41.7,37.2,38.9,36.1,40.6,39.4,35.0,38.3,33.3,36.1,32.2,,35.6,34.4,35.0,32.2,,33.3,28.3,36.7,,,,,35.0,35.6,,35.0,35.0,35.6,33.3,36.1,31.1,,33.9,32.8,36.7,33.9
2020,37.2,35.6,36.1,33.3,35.0,40.0,,,,35.0,35.6,37.2,36.7,36.7,,,34.4,42.2,,,,47.8,48.9,,,31.7,,,36.1,,41.1,,29.4,45.6,32.2,37.8,38.3,38.3,38.3,32.8,40.6,33.9,,37.2,,36.7,,,37.8,36.1,35.6,36.7,33.9,37.8,,,,37.2,32.2,,34.4,34.4,33.3,34.4,32.8,,35.6,35.0,,36.1,35.0,35.6,35.0,36.1,42.2,35.6,36.7,34.4,40.0,38.9,35.0,38.9,35.6,36.1,31.7,,38.9,35.0,35.0,33.3,,33.3,,37.2,33.9,,,,35.0,34.4,35.0,35.0,35.0,35.0,33.9,38.9,32.2,,35.6,35.6,38.9,36.1
2021,36.7,35.0,,31.7,35.6,41.1,42.2,45.6,,37.2,36.1,37.8,36.7,36.7,,,28.9,44.4,,,,48.9,49.4,41.1,,24.4,,,37.8,,34.4,37.2,33.3,47.2,,39.4,39.4,40.0,35.6,32.8,,32.8,,37.2,,36.7,35.0,34.4,37.2,36.1,36.7,35.6,33.3,36.7,36.1,,,36.1,32.8,36.1,35.0,36.7,34.4,36.1,33.9,,37.8,34.4,,36.7,35.0,36.7,37.2,37.2,,36.7,40.0,36.7,40.6,40.6,36.1,38.3,33.9,35.6,34.4,,38.3,35.0,34.4,31.7,,32.8,32.8,38.9,35.6,,36.1,36.7,36.7,35.6,36.1,36.1,36.1,34.4,36.1,42.2,31.7,,36.7,41.7,41.7,37.8
2022,38.9,37.8,38.9,33.9,34.4,37.8,,43.9,,33.9,38.3,38.9,38.9,40.0,,,31.7,41.1,,,,45.6,47.2,41.7,,25.6,,,,,37.8,,31.7,44.4,32.2,37.8,37.8,40.0,37.2,32.2,,32.8,,38.3,,37.8,35.0,38.3,,37.8,,38.9,36.1,40.6,37.8,,,,33.3,34.4,33.9,37.8,34.4,36.7,35.6,,36.1,35.0,,37.8,36.1,37.8,36.7,33.9,44.4,37.8,40.6,36.7,42.8,41.7,35.6,40.6,33.3,36.1,33.3,35.0,38.3,35.0,,32.8,31.7,35.0,30.0,38.3,33.9,,38.3,37.8,37.8,,,38.9,39.4,40.0,37.2,40.6,30.0,,37.8,37.2,38.3,37.2
2023,39.4,38.3,37.2,33.3,36.7,41.1,,45.0,,36.1,40.6,38.3,38.9,38.3,,,29.4,42.2,,32.2,,48.3,48.9,41.7,,25.0,,43.3,38.3,36.7,36.1,,32.2,46.1,33.9,38.9,38.9,40.0,38.9,33.9,39.4,31.7,,38.9,37.2,39.4,,,,37.8,,36.7,34.4,37.8,36.7,,35.0,,32.2,35.6,34.4,,35.6,38.3,35.0,33.9,36.7,38.9,,37.2,36.1,37.8,37.2,36.7,41.7,42.2,43.9,41.1,39.4,41.1,35.0,43.3,33.9,35.6,32.2,35.6,36.1,32.2,,,33.3,33.3,,39.4,,36.1,38.9,39.4,40.0,,,38.3,40.6,37.8,38.3,38.3,,,37.2,36.7,,36.7
2024,36.1,36.1,38.3,35.6,35.6,39.4,40.0,45.0,,35.0,38.3,36.7,39.4,36.7,,,30.6,45.0,,31.7,,,50.0,43.9,,28.3,,45.0,37.8,41.1,36.1,,32.2,47.8,31.1,37.2,38.9,40.6,38.3,32.8,,32.2,37.2,38.9,,38.3,,,,36.1,,38.3,35.0,39.4,36.1,32.8,37.8,,33.3,36.1,36.1,36.1,34.4,37.8,34.4,36.1,35.6,34.4,,37.2,,,36.1,,43.9,38.3,41.1,38.3,41.1,,37.8,39.4,35.6,38.3,34.4,,37.2,33.3,,,32.2,33.9,31.7,34.4,32.2,37.2,,38.3,36.7,36.1,,,36.7,35.0,36.7,41.1,32.8,36.1,36.7,41.1,,
2025,36.1,36.1,35.6,33.3,35.6,37.8,40.0,,,36.1,37.8,37.8,,40.0,,,31.7,42.2,,28.9,,48.9,47.2,39.4,32.2,28.3,,43.3,36.7,37.8,35.6,,30.6,44.4,31.7,,38.9,40.0,36.7,32.2,,33.9,36.7,40.6,37.2,37.8,,,,36.7,,36.7,36.1,38.3,36.7,30.0,34.4,35.6,31.1,35.0,36.1,36.1,32.8,36.1,32.8,35.6,33.9,33.3,,36.1,,,35.6,,40.6,35.0,38.3,39.4,,40.0,36.1,38.9,35.6,37.2,34.4,,40.6,37.2,,,33.9,35.0,27.8,38.3,32.8,36.7,36.1,,35.6,,,,38.3,37.8,34.4,37.2,,,34.4,37.8,,
